"datetime	do_perc	temp_c"
"1/22/2019 4:45	9.58	9.94"
"1/22/2019 5:00	9.58	9.9"
"1/22/2019 5:15	9.57	9.88"
"1/22/2019 5:30	9.55	9.86"
"1/22/2019 5:45	9.56	9.84"
"1/22/2019 6:00	9.56	9.8"
"1/22/2019 6:15	9.57	9.78"
"1/22/2019 6:30	9.55	9.74"
"1/22/2019 6:45	9.55	9.7"
"1/22/2019 7:00	9.55	9.68"
"1/22/2019 7:15	9.55	9.64"
"1/22/2019 7:30	9.54	9.6"
"1/22/2019 7:45	9.54	9.58"
"1/22/2019 8:00	9.53	9.54"
"1/22/2019 8:15	9.53	9.52"
"1/22/2019 8:30	9.54	9.5"
"1/22/2019 8:45	9.53	9.48"
"1/22/2019 9:00	9.54	9.48"
"1/22/2019 9:15	9.54	9.48"
"1/22/2019 9:30	9.52	9.5"
"1/22/2019 9:45	9.54	9.5"
"1/22/2019 10:00	9.53	9.52"
"1/22/2019 10:15	9.54	9.54"
"1/22/2019 10:30	9.53	9.56"
"1/22/2019 10:45	9.53	9.58"
"1/22/2019 11:00	9.41	9.6"
"1/22/2019 11:15	9.54	9.64"
"1/22/2019 11:30	9.52	9.66"
"1/22/2019 11:45	9.54	9.68"
"1/22/2019 12:00	9.54	9.72"
"1/22/2019 12:15	9.54	9.74"
"1/22/2019 12:30	9.53	9.76"
"1/22/2019 12:45	9.52	9.78"
"1/22/2019 13:00	9.51	9.8"
"1/22/2019 13:15	9.52	9.84"
"1/22/2019 13:30	9.52	9.86"
"1/22/2019 13:45	9.52	9.92"
"1/22/2019 14:00	9.52	9.94"
"1/22/2019 14:15	9.51	9.96"
"1/22/2019 14:30	9.51	9.98"
"1/22/2019 14:45	9.51	9.98"
"1/22/2019 15:00	9.51	9.98"
"1/22/2019 15:15	9.51	9.96"
"1/22/2019 15:30	9.51	9.96"
"1/22/2019 15:45	9.51	9.96"
"1/22/2019 16:00	9.5	9.94"
"1/22/2019 16:15	9.49	9.94"
"1/22/2019 16:30	9.49	9.92"
"1/22/2019 16:45	9.49	9.9"
"1/22/2019 17:00	9.48	9.86"
"1/22/2019 17:15	9.46	9.84"
"1/22/2019 17:30	9.48	9.82"
"1/22/2019 17:45	9.45	9.8"
"1/22/2019 18:00	9.45	9.78"
"1/22/2019 18:15	9.45	9.76"
"1/22/2019 18:30	9.44	9.74"
"1/22/2019 18:45	9.44	9.74"
"1/22/2019 19:00	9.44	9.72"
"1/22/2019 19:15	9.44	9.7"
"1/22/2019 19:30	9.45	9.7"
"1/22/2019 19:45	9.45	9.68"
"1/22/2019 20:00	9.43	9.68"
"1/22/2019 20:15	9.44	9.66"
"1/22/2019 20:30	9.45	9.64"
"1/22/2019 20:45	9.45	9.64"
"1/22/2019 21:00	9.44	9.62"
"1/22/2019 21:15	9.42	9.6"
"1/22/2019 21:30	9.42	9.58"
"1/22/2019 21:45	9.42	9.56"
"1/22/2019 22:00	9.41	9.54"
"1/22/2019 22:15	9.41	9.52"
"1/22/2019 22:30	9.4	9.5"
"1/22/2019 22:45	9.4	9.48"
"1/22/2019 23:00	9.39	9.46"
"1/22/2019 23:15	9.41	9.44"
"1/22/2019 23:30	9.39	9.4"
"1/22/2019 23:45	9.39	9.38"
"1/23/2019 0:00	9.28	9.36"
"1/23/2019 0:15	9.38	9.34"
"1/23/2019 0:30	9.38	9.3"
"1/23/2019 0:45	9.39	9.28"
"1/23/2019 1:00	9.39	9.24"
"1/23/2019 1:15	9.39	9.2"
"1/23/2019 1:30	9.38	9.18"
"1/23/2019 1:45	9.4	9.14"
"1/23/2019 2:00	9.39	9.1"
"1/23/2019 2:15	9.39	9.06"
"1/23/2019 2:30	9.38	9.04"
"1/23/2019 2:45	9.39	9"
"1/23/2019 3:00	9.38	8.96"
"1/23/2019 3:15	9.39	8.92"
"1/23/2019 3:30	9.39	8.88"
"1/23/2019 3:45	9.39	8.84"
