PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
12,MOK-US-RR,2019-03-14,1000,1.3034,1.4148,1.4284,1.4267,0.0017,0.0017,1.7,0.85,,,,,,,,,,
18,MOK-US-RR,2019-03-14,1000,1.2997,1.4104,1.4254,1.4235,0.0019,0.0019,1.9,0.95,,,,,,,,,,
22,MOK-US-RR,2019-03-14,1000,1.3139,1.4255,1.4412,1.4394,0.0018,0.0018,1.8,0.9,,,,,,,,,,
3,WENDELLS,2019-03-14,1000,1.288,1.4001,1.4177,1.4156,0.0021,0.0021,2.1,1.05,,,,,,,,,,
10,COS-TRI,2019-03-20,1000,1.2894,1.4012,1.4053,1.4042,0.0011,0.0011,1.1,0.55,,,,,,,,,,
11,COS-TRI,2019-03-20,1000,1.3135,1.4252,1.4288,1.4279,0.0009,0.0009,0.9,0.45,,,,,,,,,,
13,COS-TRI,2019-03-20,1000,1.3169,1.4285,1.4321,1.4313,0.0008,0.0008,0.8,0.4,,,,,,,,,,
16,WENDELLS,2019-03-20,1000,1.3015,1.4168,1.4338,1.4317,0.0021,0.0021,2.1,1.05,,,,,,,,,,
17,WENDELLS,2019-03-20,1000,1.2986,1.4105,1.431,1.4288,0.0022,0.0022,2.2,1.1,,,,,,,,,,
19,WENDELLS,2019-03-20,1000,1.3015,1.4134,1.4365,1.4342,0.0023,0.0023,2.3,1.15,,,,,,,,,,
21,COS-BEACH,2019-03-20,1000,1.3028,1.4146,1.4194,1.4179,0.0015,0.0015,1.5,0.75,,,,,,,,,,
23,COS-BEACH,2019-03-20,1000,1.3074,1.4191,1.424,1.4226,0.0014,0.0014,1.4,0.7,,,,,,,,,,
24,COS-BEACH,2019-03-20,1000,1.2949,1.4063,1.4109,1.4095,0.0014,0.0014,1.4,0.7,,,,,,,,,,
27,MOK-US-RR,2019-03-20,1000,1.292,1.4035,1.4143,1.4128,0.0015,0.0015,1.5,0.75,,,,,,,,,,
29,MOK-US-RR,2019-03-20,1000,1.3039,1.4147,1.4271,1.4256,0.0015,0.0015,1.5,0.75,,,,,,,,,,
30,MOK-US-RR,2019-03-20,1000,1.307,1.4187,1.4301,1.4286,0.0015,0.0015,1.5,0.75,,,,,,,,,,
32,XSSAC,2019-03-22,750,1.2811,1.3932,1.4156,1.4137,0.0019,0.002533333,2.533333333,1.266666667,,,,,,,,,,
4,XSSAC,2019-03-22,750,1.31,1.4225,1.4491,1.4471,0.002,0.002666667,2.666666667,1.333333333,,,,,,,,,,
7,XSSAC,2019-03-22,750,1.2774,1.3899,1.4141,1.4122,0.0019,0.002533333,2.533333333,1.266666667,,,,,,,,,,
